Unique_ID,First_Name,Last_Name,Age_at_First_Offense,Current_Age,Gender,Education_Level,Employment_Status,Marital_Status,Substance_Abuse_History,Mental_Health_Issues,Family_Criminal_History,Prior_Convictions,Type_of_Crimes_Committed,Length_of_Prison_Stay,In_Prison_Behavior,Discharge_Status,Neighborhood_Crime_Rates,Access_to_Support_Services,Social_Support,Recidivism_of_Peers,Number_of_Reoffenses,Socioeconomic_Status,Dependents,Gang_Affiliation,Committed_Juvenile_Crime,Address
0,Daksh,Aurora,25,30,Female,Primary,Self-Employed,Married,Yes,No,No,9,Theft,3,Good,Escaped,4.84,Yes,Moderate,Low,4,High,3,No,No,"H.No. 84, Atwal Path, Warangal 920129"
1,Pranit,Dash,23,57,Male,Primary,Employed,Single,No,Yes,No,6,Assault,1,Good,Completed Sentence,4.82,No,Strong,Low,1,Middle,4,No,Yes,"71/59, Lad Chowk, Raichur 798775"
2,Nimrat,Nayak,11,36,Male,Higher Secondary,Employed,Divorced,No,Yes,Yes,10,Cybercrime,15,Good,Completed Sentence,5.15,Yes,Weak,Moderate,4,Low,0,No,No,"64/688, Roy Chowk, Anantapur-685259"
3,Aashi,Chaudhry,24,29,Female,Higher Secondary,Self-Employed,Divorced,Yes,No,No,8,Murder,7,Poor,Completed Sentence,7.87,Yes,Moderate,High,4,Middle,3,No,No,"15/95, Kaur Nagar, Bellary-992553"
4,Nisha,Srinivas,25,59,Female,Graduate,Self-Employed,Divorced,Yes,No,No,0,Fraud,9,Poor,Completed Sentence,3.82,Yes,Moderate,Moderate,2,Low,4,No,No,"H.No. 24, Bhasin Road, Kollam-525258"
5,Harita,Nagar,14,19,Other,Graduate,Employed,Widowed,No,No,Yes,6,Fraud,19,Good,Escaped,5.83,No,Strong,Moderate,5,High,0,Yes,Yes,"37/895, Chaudhry Marg, Asansol 970337"
6,Divya,Sharaf,28,48,Male,Higher Secondary,Unemployed,Married,Yes,Yes,No,8,Theft,7,Average,Escaped,8.47,Yes,Weak,Low,2,Middle,4,No,No,"38, Nayak Zila, Thrissur 545825"
7,Fariq,Luthra,22,58,Other,Higher Secondary,Self-Employed,Divorced,Yes,No,Yes,3,Assault,16,Good,Escaped,3.87,Yes,Strong,High,2,Middle,5,Yes,No,"H.No. 91, Samra Nagar, Srikakulam-758015"
8,Ojasvi,Kumer,23,49,Other,Primary,Unemployed,Widowed,No,Yes,No,2,Assault,8,Good,Completed Sentence,4.52,No,Weak,Low,0,High,3,Yes,No,"086, Balakrishnan Nagar, Jaunpur-499230"
9,Parth,Guha,24,70,Other,Primary,Self-Employed,Married,No,Yes,Yes,1,Murder,3,Poor,Completed Sentence,8.68,Yes,Strong,Moderate,3,Middle,0,Yes,No,"H.No. 710, Dewan, North Dumdum 888101"
10,Suhani,Saran,14,28,Male,Primary,Self-Employed,Married,Yes,Yes,No,1,Murder,19,Good,Escaped,8.37,No,Moderate,Low,3,Low,0,Yes,Yes,"00/831, Sen Chowk, Cuttack 431167"
11,Avni,Ramanathan,18,59,Male,Postgraduate,Employed,Widowed,No,Yes,Yes,6,Fraud,18,Average,Parole,7.73,No,Strong,Moderate,2,Low,1,Yes,No,"47/16, Patla Zila, Pali-319780"
12,Mitesh,Narayanan,27,37,Male,Graduate,Self-Employed,Single,No,No,Yes,3,Fraud,8,Good,Escaped,6.68,Yes,Weak,High,0,Low,0,Yes,No,"832, Bhagat Zila, Farrukhabad 284028"
13,Michael,Nagarajan,11,46,Female,Postgraduate,Unemployed,Widowed,No,Yes,No,1,Assault,14,Good,Escaped,8.34,Yes,Strong,Low,2,Low,4,Yes,No,"897, Hora Circle, Tadepalligudem-928505"
14,Meghana,Ratti,24,37,Female,Primary,Self-Employed,Divorced,No,No,No,8,Murder,4,Average,Escaped,4.63,Yes,Strong,Low,2,Middle,0,Yes,Yes,"52/46, Bahl Marg, Nanded-049345"
15,Baljiwan,Shere,18,59,Male,No Formal Education,Unemployed,Divorced,No,No,Yes,8,Fraud,11,Average,Parole,6.33,No,Strong,Low,5,High,1,Yes,Yes,"H.No. 19, Baria Ganj, Katihar 504440"
16,Henry,Prabhakar,23,53,Other,Graduate,Self-Employed,Single,Yes,Yes,Yes,8,Assault,16,Average,Parole,7.47,Yes,Moderate,Moderate,0,Low,0,No,No,"H.No. 75, Sani Marg, Phagwara 238029"
17,Caleb,Bakshi,20,46,Other,No Formal Education,Employed,Divorced,No,Yes,No,3,Theft,10,Good,Parole,7.24,Yes,Strong,Low,0,Low,4,Yes,No,"H.No. 884, Modi Chowk, Coimbatore-114777"
18,Faqid,Mani,13,25,Other,No Formal Education,Unemployed,Widowed,Yes,No,Yes,1,Drug Trafficking,14,Average,Escaped,6.27,Yes,Strong,Moderate,2,Low,4,Yes,Yes,"H.No. 04, Sabharwal Path, Tumkur-074523"
19,Mahika,Pau,18,61,Other,Postgraduate,Unemployed,Widowed,No,No,No,2,Theft,18,Poor,Parole,4.56,Yes,Weak,Low,0,Low,5,Yes,No,"H.No. 65, Iyer Marg, Sonipat 249183"
20,Chakradhar,Sehgal,10,19,Female,Primary,Self-Employed,Married,No,No,Yes,9,Fraud,19,Good,Parole,1.56,Yes,Weak,High,2,Low,4,Yes,No,"936, Dubey, Alwar-450203"
21,Zayyan,Kulkarni,30,33,Male,Secondary,Unemployed,Single,No,Yes,No,2,Theft,9,Poor,Parole,1.06,No,Weak,Low,4,Low,3,Yes,Yes,"59, Prabhu Chowk, Aligarh 834406"
22,Jyoti,Bajaj,14,19,Female,Primary,Employed,Married,No,No,No,6,Cybercrime,18,Good,Parole,3.62,Yes,Moderate,Low,3,Low,1,Yes,No,"464, Loyal, Siwan-788705"
23,Jagdish,Amble,27,48,Female,Higher Secondary,Employed,Divorced,Yes,No,Yes,10,Murder,9,Average,Escaped,5.25,No,Strong,Low,1,Low,0,Yes,No,"976, Kaur Ganj, Bikaner-075020"
24,Agastya,Karnik,25,34,Other,No Formal Education,Employed,Married,No,Yes,Yes,3,Theft,3,Average,Completed Sentence,3.43,No,Moderate,Low,4,Low,2,No,Yes,"72/327, Biswas Street, Chennai 970937"
25,Forum,Shankar,29,57,Other,Higher Secondary,Employed,Divorced,Yes,No,No,5,Murder,3,Average,Escaped,1.96,Yes,Weak,Moderate,3,Low,2,Yes,No,"586, Bal Street, Bidhannagar 346041"
26,Yashodhara,Ravi,25,56,Other,No Formal Education,Employed,Divorced,No,No,Yes,2,Cybercrime,5,Poor,Escaped,7.08,No,Strong,Low,4,Middle,2,Yes,Yes,"90/129, Pillay Ganj, Mangalore 202186"
27,Hemani,Doctor,10,63,Other,Secondary,Self-Employed,Single,Yes,No,Yes,2,Drug Trafficking,15,Poor,Completed Sentence,8.4,Yes,Moderate,High,2,Low,3,Yes,Yes,"48/277, Brahmbhatt Street, Parbhani 140974"
28,Aradhana,Garde,10,24,Other,Postgraduate,Employed,Divorced,No,No,Yes,1,Fraud,3,Poor,Escaped,9.22,Yes,Weak,Low,3,High,1,No,No,"57/931, Dugar Circle, Shahjahanpur-259461"
29,Yashodhara,Rattan,20,44,Female,Postgraduate,Self-Employed,Married,No,Yes,Yes,0,Cybercrime,6,Poor,Escaped,4.12,Yes,Strong,Low,3,Middle,1,Yes,No,"26/25, Pillai Nagar, Bally-974916"
30,Indali,Barman,27,28,Other,Primary,Unemployed,Single,No,No,No,3,Assault,20,Good,Completed Sentence,2.95,No,Weak,High,2,High,0,Yes,No,"596, Rajagopalan Path, Vijayanagaram-116980"
31,Ishani,Agrawal,14,22,Other,Secondary,Employed,Single,Yes,Yes,Yes,4,Drug Trafficking,12,Poor,Parole,5.17,Yes,Weak,Moderate,0,High,1,No,Yes,"22, Pandey Street, Bhimavaram-327446"
32,Tanveer,Parekh,22,29,Female,Postgraduate,Self-Employed,Married,Yes,Yes,No,10,Assault,8,Good,Escaped,6.73,No,Strong,High,4,Middle,3,No,No,"785, Gour Nagar, Ambala-065733"
33,Janya,Bandi,30,69,Female,Postgraduate,Employed,Divorced,Yes,No,Yes,6,Assault,18,Poor,Completed Sentence,2.98,Yes,Moderate,Low,3,High,4,Yes,Yes,"98/450, Narula Nagar, Tiruchirappalli 284935"
34,Ansh,Pall,19,49,Other,Primary,Employed,Married,Yes,Yes,No,7,Cybercrime,5,Poor,Escaped,1.02,Yes,Moderate,Low,0,Low,0,Yes,Yes,"30/809, Karnik Nagar, Kamarhati 155340"
35,Benjamin,Ravi,10,56,Male,Graduate,Unemployed,Married,No,No,Yes,0,Murder,16,Average,Escaped,2.21,Yes,Moderate,Low,4,High,2,No,No,"35/98, Chaudhary Path, Karimnagar-596264"
